"author_id","author_name","author_year","authority_type","auth_list","input_date","last_update"
340,Saumiman Saud,,p,,2007-11-29,2007-11-29
341,"Hybels, Sherman dkk.",,p,,2007-11-29,2007-11-29
342,"Richard A. Swenson, M.D.",,p,,2007-11-29,2007-11-29
343,Paul C. Vitz,,p,,2007-11-29,2007-11-29
344,PETER WONGSO,,p,,2007-11-29,2007-11-29
345,Donald S. Whitney,,p,,2007-11-29,2007-11-29
346,Stan Toler,,p,,2007-11-29,2007-11-29
347,Emilie Barnes,,p,,2007-11-29,2007-11-29
348,J.Oswald Sanders,,p,,2007-11-29,2007-11-29
349,Violet Madge,,p,,2007-11-29,2007-11-29
350,M. Blaine Smith,,p,,2007-11-29,2007-11-29
351,Paulus Yedid Yah,,p,,2007-11-29,2007-11-29
352,Larry Richards,,p,,2007-11-29,2007-11-29
353,Erwin W. Lutzer,,p,,2007-11-29,2007-11-29
354,Daniel H.Smith,,p,,2007-11-29,2007-11-29
355,Dwi Atmo,,p,,2007-11-29,2007-11-29
356,Roger Steer,,p,,2007-11-29,2007-11-29
357,Loren Cunningham & Janice Rogers,,p,,2007-11-29,2007-11-29
358,Arthur Wallis,,p,,2007-11-29,2007-11-29
359,Dr. Paul Brand and Philip Yancey,,p,,2007-11-29,2007-11-29
360,Elizabeth George,,p,,2007-11-29,2007-11-29
361,"Jack Canfield, Mark Victor Hansen Dkk.",,p,,2007-11-29,2007-11-29
362,"Patty Aubery, Jack Nancy Mitchell dkk",,p,,2007-11-29,2007-11-29
363,Francis A. Schaeffer,,p,,2007-11-29,2007-11-29
364,"Floyd C. Woodworth, Jr. & David D. Duncan",,p,,2007-11-29,2007-11-29
365,Myra Chave-Jones,,p,,2007-11-29,2007-11-29
366,Antony Milne,,p,,2007-11-29,2007-11-29
367,Dr.Phil Eka Darmaputera,,p,,2007-11-29,2007-11-29
368,Dr. Phil. Eka Darmaputera,,p,,2007-11-29,2007-11-29
369,Yitta Halberstan & Judith Leventhal,,p,,2007-11-29,2007-11-29
370,Marry Elen,,p,,2007-11-29,2007-11-29
371,Henry Scougal & Robert Leighton,,p,,2007-11-29,2007-11-29
372,Jrw. Stott,,p,,2007-11-29,2007-11-29
373,Ruth Paxson,,p,,2007-11-29,2007-11-29
374,Frederick S. Leahy,,p,,2007-11-29,2007-11-29
375,Abraham Kuyper,,p,,2007-11-29,2007-11-29
376,Dr. Henry Cloud & Dr. John Townsend,,p,,2007-11-29,2007-11-29
377,Dr. B.J. Boland,,p,,2007-11-29,2007-11-29
378,John C. Maxwell,,p,,2007-11-29,2007-11-29
379,Norman Warren,,p,,2007-11-29,2007-11-29
380,DR. Harold J. Sala,,p,,2007-11-29,2007-11-29
381,Sammy Tippit,,p,,2007-11-29,2007-11-29
382,John Barton,,p,,2007-11-29,2007-11-29
383,David E.Schroeder,,p,,2007-11-29,2007-11-29
384,Ray Summers,,p,,2007-11-29,2007-11-29
385,"W.oscar Thompson, Jr.",,p,,2007-11-29,2007-11-29
386,Billy Graham dkk.,,p,,2007-11-29,2007-11-29
387,"Tulus Tu'u, S.Th.",,p,,2007-11-29,2007-11-29
388,Jeff Hammond,,p,,2007-11-29,2007-11-29
389,Drs. Wilson Nadeak,,p,,2007-11-29,2007-11-29
390,Derek Prince,,p,,2007-11-29,2007-11-29
391,Robyn Gool,,p,,2007-11-29,2007-11-29
392,Derek Tidball,,p,,2007-11-29,2007-11-29
393,Nancy Leigh DeMoss,,p,,2007-11-29,2007-11-29
394,Kriswanda,,p,,2007-11-29,2007-11-29
395,Pdt. Ichwei G. Indra M.Th,,p,,2007-11-29,2007-11-29
396,Theodore Williams,,p,,2007-11-29,2007-11-29
397,M.B. Dainton MA,,p,,2007-11-29,2007-11-29
398,Philip Rushing,,p,,2007-11-29,2007-11-29
399,"LeRoy ""PAT"" Patterson",,p,,2007-11-29,2007-11-29
400,Watchman Nee,,p,,2007-11-29,2007-11-29
401,Margaret P.Zelinka,,p,,2007-11-29,2007-11-29
402,"Ir. Eddy leo, M.th",,p,,2007-11-29,2007-11-29
403,Roberts Liardon,,p,,2007-11-29,2007-11-29
404,Luis Palau,,p,,2007-11-29,2007-11-29
405,John Mason,,p,,2007-11-29,2007-11-29
406,Dr. W. Philip Keller,,p,,2007-11-29,2007-11-29
407,Dr.J.L.Ch.Abineno,,p,,2007-11-29,2007-11-29
408,Brother Andrew,,p,,2007-11-29,2007-11-29
409,Dr. Andar Ismail,,p,,2007-11-29,2007-11-29
410,William W.ORR,,p,,2007-11-29,2007-11-29
411,R.T. Kendall,,p,,2007-11-29,2007-11-29
412,Linda Rane Wright,,p,,2007-11-29,2007-11-29
413,"Frank Minirth, Paul Meier, Richard Meier, Don Hawk",,p,,2007-11-29,2007-11-29
414,Christ Wright,,p,,2007-11-29,2007-11-29
415,Drs. Timotius Adi Tan,,p,,2007-11-29,2007-11-29
416,Marilyn Hickey,,p,,2007-11-29,2007-11-29
417,Kesaksian,,p,,2007-11-29,2007-11-29
418,R.P.Chavan,,p,,2007-11-29,2007-11-29
419,James H. Casson,,p,,2007-11-29,2007-11-29
